#http://www.econ.umn.edu/~holmes/data/WalMart/store_openings.csv
"storenum","OPENDATE","date_super","conversion","st","county","STREETADDR","STRCITY","STRSTATE","ZIPCODE","type_store","lat","lng"
1,7/1/1962 ,3/1/1997 ,1,"05","007","2110 WEST WALNUT","Rogers","AR","72756","Supercenter",36.3317272,-94.1490546
2,8/1/1964 ,3/1/1996 ,1,"05","009","1417 HWY 62/65 N","Harrison","AR","72601","Supercenter",36.252044,-93.123198
3,4/12/1988 ,3/1/2000 ,1,"13","011","30983 HWY 441 SOUTH","Commerce","GA","30529","Supercenter",34.2484169,-83.4598379
4,8/1/1965 ,3/1/2002 ,1,"05","007","2901 HWY 412 EAST","Siloam Springs","AR","72761","Supercenter",36.183175,-94.512615
5,5/1/1972 ,3/1/1994 ,1,"05","045","1155 HWY 65 NORTH","Conway","AR","72032","Supercenter",35.1086464,-92.4369037
7,10/1/1967 ,,,"05","119","3801 CAMP ROBINSON RD.","North Little Rock","AR","72118","Wal-Mart",34.7910574,-92.2768097
8,10/1/1967 ,3/1/1993 ,1,"05","029","1621 NORTH BUSINESS 9","Morrilton","AR","72110","Supercenter",35.1688838,-92.7261675
9,3/1/1968 ,3/1/2000 ,1,"29","143","1303 SOUTH MAIN","Sikeston","MO","63801","Supercenter",36.8954259,-89.5950968
10,7/1/1968 ,3/1/1998 ,1,"40","021","2020 SOUTH MUSKOGEE","Tahlequah","OK","74464","Supercenter",35.8887523,-94.9799735
11,3/1/1968 ,2/20/2002 ,1,"05","005","65 WAL-MART DRIVE","Mountain Home","AR","72653","Supercenter",36.3353949,-92.381346
12,7/1/1968 ,3/1/1994 ,1,"40","131","1500 LYNN RIGGS BLVD","Claremore","OK","74017","Supercenter",36.2946713,-95.6295787
13,11/1/1968 ,3/1/1996 ,1,"29","097","2705 GRAND AVE","Carthage","MO","64836","Supercenter",37.1420436,-94.3105132
14,4/1/1969 ,3/1/1999 ,1,"29","105","1800 S JEFFERSON","Lebanon","MO","65536","Supercenter",37.6635401,-92.6463991
15,5/1/1969 ,3/1/1995 ,1,"29","091","1310 PREACHER RD/HGWY 160","West Plains","MO","65775","Supercenter",36.7281154,-91.8523711
16,4/1/1969 ,3/1/2000 ,1,"05","033","2214 FAYETTEVILLE RD","Van Buren","AR","72956","Supercenter",35.4691596,-94.3533552
17,5/1/1969 ,3/1/1993 ,1,"29","145","3200 LUSK DRIVE","Neosho","MO","64850","Supercenter",36.8390699,-94.3969434
18,11/1/1969 ,,,"05","067","2500 MALCOLM ST/HWY 67 NORTH","Newport","AR","72112","Wal-Mart",35.6048018,-91.2817951
19,4/3/1990 ,4/3/1990 ,0,"29","023","333 S WESTWOOD","Poplar Bluff","MO","63901","Supercenter",36.7551339,-90.4085018
20,10/1/1970 ,3/1/1999 ,1,"29","083","1712 EAST OHIO","Clinton","MO","64735","Supercenter",38.3661668,-93.7490658
21,3/1/1970 ,8/22/2001 ,1,"29","169","185 ST ROBERT BLVD","St. Robert","MO","65584","Supercenter",37.8250379,-92.1528163
22,10/1/1970 ,5/18/2005 ,1,"40","097","4901 SO. MILL ROAD","Pryor","OK","74361","Supercenter",36.2499818,-95.3351776
23,11/1/1970 ,3/1/1994 ,1,"22","061","1201 N SERVICE ROAD EAST","Ruston","LA","71270","Supercenter",32.5407408,-92.6228879
24,4/1/1971 ,3/1/1999 ,1,"05","119","2000 JOHN HARDEN DR","Jacksonville","AR","72076","Supercenter",34.885328,-92.111429
25,2/1/1971 ,5/18/2005 ,1,"29","007","4820 SO. CLARK ST","Mexico","MO","65265","Supercenter",39.1202574,-91.8936304
26,11/1/1970 ,,,"20","103","3450 S. 4TH TRAFFICWAY","Leavenworth","KS","66048","Wal-Mart",39.3111112,-94.9224637
27,2/1/1971 ,3/1/1999 ,1,"29","065","1101 HWY 32 WEST","Salem","MO","65560","Supercenter",37.6360667,-91.5460929
28,5/1/1971 ,3/1/2002 ,1,"40","115","2415 N.W. MAIN ST","Miami","OK","74354","Supercenter",36.904553,-94.8799794
29,8/1/1971 ,3/1/1989 ,1,"29","051","724 STADIUM WEST BLVD","Jefferson City","MO","65109","Supercenter",38.580051,-92.218807
30,11/1/1971 ,5/18/2005 ,1,"29","207","2025 BUS. HWY 60 WEST","Dexter","MO","63841","Supercenter",36.6313858,-95.1373765
31,6/1/1971 ,3/1/1995 ,1,"40","079","3108 N BROADWAY","Poteau","OK","74953","Supercenter",35.076537,-94.6289036
32,6/1/1971 ,,,"29","213","2050 WEST HWY 76","Branson","MO","65616","Wal-Mart",36.6408141,-93.2598601
33,6/1/1971 ,9/17/2003 ,1,"05","061","1710 SO. 4TH ST","Nashville","AR","71852","Supercenter",33.9276125,-93.8513438
34,11/1/1971 ,5/21/2003 ,1,"29","217","2250 LINCOLN AVENUE","Nevada","MO","64772","Supercenter",37.8323338,-94.3266724
35,10/1/1971 ,3/17/2004 ,1,"20","161","101 EAST BLUEMONT AVENUE","Manhattan","KS","66502","Supercenter",39.18853,-96.556228
36,11/1/1971 ,3/1/1996 ,1,"05","055","2802 WEST KINGS HIGHWAY","Paragould","AR","72450","Supercenter",36.0599043,-90.5230516
37,9/1/1971 ,3/1/1989 ,1,"29","187","701 WALTON DRIVE","Farmington","MO","63640","Supercenter",37.7886084,-90.4342813
38,12/9/1971 ,3/17/2004 ,1,"40","089","1907 SE WASHINGTON ST.","Idabel","OK","74745","Supercenter",33.8980957,-94.8036155
39,3/1/1972 ,,,"20","011","2400 SOUTH MAIN","Fort Scott","KS","66701","Wal-Mart",37.8099055,-94.7063798
40,11/1/1971 ,3/1/1995 ,1,"29","175","1301 HWY 24 EAST","Moberly","MO","65270","Supercenter",39.4325081,-92.4537234
41,5/1/1972 ,3/1/1994 ,1,"40","147","4000 GREEN COUNTRY RD","Bartlesville","OK","74006","Supercenter",36.7404506,-95.9315828
42,2/1/1973 ,,,"20","125","1705 WEST 11TH STREET","Coffeyville","KS","67337","Wal-Mart",37.0332554,-95.6430641
43,5/1/1972 ,3/1/2000 ,1,"20","061","521 EAST CHESTNUT ST","Junction City","KS","66441","Supercenter",39.0190778,-96.8206343
44,2/1/1972 ,,,"29","131","1802 SOUTH BUSINESS HWY 54","Eldon","MO","65026","Wal-Mart",38.3483636,-92.5815759
45,8/1/1972 ,3/1/1994 ,1,"05","031","1815 EAST HIGHLAND DRIVE","Jonesboro","AR","72401","Supercenter",35.819631,-90.685407
46,8/1/1972 ,3/1/1999 ,1,"29","167","2451 S. SPRINGFIELD","Bolivar","MO","65613","Supercenter",37.5918505,-93.4034657
47,7/1/1972 ,3/14/2001 ,1,"40","135","1101 WEST RUTH AVE","Sallisaw","OK","74955","Supercenter",35.4506285,-94.8019159
48,11/1/1972 ,3/1/1999 ,1,"29","009","885 HIGHWAY 60","Monett","MO","65708","Supercenter",36.9280977,-93.8876321
49,10/1/1972 ,3/1/2002 ,1,"40","023","1911 E.JACKSON ST.","Hugo","OK","74743","Supercenter",34.0105478,-95.4971448
50,9/1/1973 ,1/22/2003 ,1,"40","035","268 SO. 7TH ST.","Vinita","OK","74301","Supercenter",36.6357142,-95.1435349
51,5/1/1973 ,3/1/1998 ,1,"29","027","1701 NORTH BLUFF STREET","Fulton","MO","65251","Supercenter",38.8644519,-91.9439761
52,7/1/1972 ,3/1/2000 ,1,"05","051","1601 ALBERT PIKE BLV","Hot Springs","AR","71913","Supercenter",34.5037004,-93.0551795
54,6/1/1972 ,3/1/1992 ,1,"05","143","2004 SOUTH PLEASANT","Springdale","AR","72764","Supercenter",36.1661994,-94.1463166
55,10/1/1972 ,,,"05","083","1555 EAST MAIN","Booneville","AR","72927","Wal-Mart",35.142002,-93.9013761
56,8/1/1973 ,3/17/2004 ,1,"29","067","1309 NW 12TH AVE","Ava","MO","65608","Supercenter",36.9617084,-92.6762106
57,10/1/1972 ,,,"05","075","1600 WEST MAIN","Walnut Ridge","AR","72476","Wal-Mart",36.07649,-90.974407
58,5/1/1973 ,10/26/2005 ,1,"05","115","2409 EAST MAIN STREET","Russellville","AR","72802","Supercenter",35.2782106,-93.1055118
59,5/1/1972 ,3/1/1996 ,1,"29","097","1501 SOUTH RANGELINE ROAD","Joplin","MO","64804","Supercenter",37.0728096,-94.4731941
60,3/1/1975 ,3/1/1996 ,1,"29","113","101 HWY 47 EAST","Troy","MO","63379","Supercenter",38.9854431,-90.9840321
61,11/1/1972 ,3/1/1993 ,1,"29","101","301 E. COOPER AVENUE","Warrensburg","MO","64093","Supercenter",38.78053,-93.735318
62,11/1/1972 ,3/1/1999 ,1,"05","093","3700 EAST HWY 18","Blytheville","AR","72315","Supercenter",35.930755,-89.872021
63,9/1/1973 ,3/1/1988 ,1,"40","145","410 SOUTH DEWEY","Wagoner","OK","74467","Supercenter",35.9573471,-95.3952015
64,2/1/1973 ,,,"47","075","100 SOUTH DUPREE","Brownsville","TN","38012","Wal-Mart",35.590743,-89.2395559
65,7/3/1973 ,3/1/1994 ,1,"29","071","350 PARKRIDGE ROAD","Sullivan","MO","63080","Supercenter",38.2211745,-91.1578808
66,8/1/1973 ,7/17/2002 ,1,"05","071","1230 MARKET STREET","Clarksville","AR","72830","Supercenter",35.4480324,-93.4566619
67,7/1/1973 ,3/1/1995 ,1,"05","113","600 HWY 71 NORTH","Mena","AR","71953","Supercenter",34.5818092,-94.2366058
68,8/1/1973 ,8/20/2003 ,1,"05","037","800 HWY 64 EAST","Wynne","AR","72396","Supercenter",35.253012,-90.777437
69,12/1/1973 ,3/1/1993 ,1,"29","099","650 SOUTH TRUMAN BLVD","Festus","MO","63028","Supercenter",38.2128902,-90.3907102
70,7/1/1974 ,3/1/1997 ,1,"05","035","798 WEST SERVICE ROAD","West Memphis","AR","72301","Supercenter",35.167739,-90.199513
71,11/1/1973 ,3/1/1994 ,1,"05","121","1415 HWY 67 SOUTH","Pocahontas","AR","72455","Supercenter",36.248835,-90.963444
72,1/1/1974 ,3/1/1994 ,1,"20","037","2710 N BROADWAY","Pittsburg","KS","66762","Supercenter",37.4334089,-94.7049049
73,10/1/1974 ,3/1/1999 ,1,"40","037","1002 WEST TAFT","Sapulpa","OK","74066","Supercenter",35.9865659,-96.1346899
74,11/1/1973 ,,,"05","093","1051 WEST KEISER AVENUE","Osceola","AR","72370","Wal-Mart",35.696603,-89.984133
75,11/13/1984 ,3/1/1998 ,1,"22","079","3636 MONROE HIGHWAY","Pineville","LA","71360","Supercenter",31.366682,-92.407023
76,11/1/1973 ,3/1/1993 ,1,"05","015","1000 WEST TRIMBLE","Berryville","AR","72616","Supercenter",36.377656,-93.5851037
77,10/30/1979 ,7/21/2004 ,1,"48","491","3701 NORTH MAIN ST.","Taylor","TX","76574","Supercenter",30.5994673,-97.4160411
78,9/1/1973 ,,,"29","225","1331 SPUR DR/ BUS. RT US HWY66","Marshfield","MO","65706","Wal-Mart",37.338658,-92.9071209
79,4/1/1974 ,3/1/1999 ,1,"29","097","2623 WEST 7TH STREET","Joplin","MO","64801","Supercenter",37.0846369,-94.5465315
80,6/1/1973 ,,,"29","019","401 N STADIUM BL/BISCAYNE MALL","Columbia","MO","65201","Wal-Mart",38.9517053,-92.3340724
81,6/1/1973 ,10/26/2005 ,1,"40","001","ROUTE 6 BOX 1895","Stilwell","OK","74960","Supercenter",35.81453,-94.6285553
82,4/1/1974 ,3/1/1998 ,1,"29","157","1750 S. PERRYVILLE","Perryville","MO","63775","Supercenter",37.7057476,-89.8958624
83,8/1/1974 ,8/20/2003 ,1,"05","027","60 79-BYPASS NORTH","Magnolia","AR","71753","Supercenter",33.2454315,-93.2299446
84,5/1/1974 ,,,"05","095","PINECREST PLAZA SHOPPING CTR","Brinkley","AR","72021","Wal-Mart",36.0794659,-79.456664
85,4/1/1974 ,3/1/1996 ,1,"05","125","17309 I-30","Benton","AR","72015","Supercenter",34.5814175,-92.5774883
86,12/1/1973 ,3/1/1994 ,1,"29","077","2825 N KANSAS EXPRESSWAY","Springfield","MO","65803","Supercenter",37.248551,-93.313068
87,7/1/1974 ,3/1/1999 ,1,"22","119","1379 HOMER ROAD","Minden","LA","71055","Supercenter",32.6273452,-93.2509525
88,2/1/1974 ,3/1/1994 ,1,"29","229","2100 NORTH MAIN","Mt. Grove","MO","65711","Supercenter",37.1499403,-92.2627457
89,2/1/1974 ,4/13/2005 ,1,"29","029","94 CECIL STREET","Camdenton","MO","65020","Supercenter",38.0237471,-92.7252206
90,4/1/1974 ,3/1/1995 ,1,"40","041","2115 S MAIN ST","Grove","OK","74344","Supercenter",36.5754906,-94.7691281
91,9/1/1974 ,3/1/1994 ,1,"05","123","205 DEADRICK ROAD","Forrest City","AR","72335","Supercenter",35.0298686,-90.7910658
92,4/1/1974 ,,,"29","109","3020 SOUTH ELLIOTT","Aurora","MO","65605","Wal-Mart",36.9457618,-93.7186263
93,10/1/1974 ,,,"47","167","975 US HIGHWAY 51 NORTH","Covington","TN","38019","Wal-Mart",35.583789,-89.642455
94,7/1/1974 ,3/1/1997 ,1,"47","157","8445 HWY 51 NORTH","Millington","TN","38053","Supercenter",35.3562643,-89.8958507
95,10/1/1974 ,5/21/2003 ,1,"29","187","407 NO. STATE ST","Desloge","MO","63601","Supercenter",37.876269,-90.5122605
96,10/1/1974 ,3/1/1994 ,1,"29","037","1700 NORTH 291 HIGHWAY","Harrisonville","MO","64701","Supercenter",38.665373,-94.3669631
97,11/1/1974 ,3/1/1994 ,1,"47","097","628 HWY 51 BYPASS","Ripley","TN","38063","Supercenter",35.5699142,-89.6461749
98,2/1/1975 ,,,"22","067","2030 EAST MADISON","Bastrop","LA","71220","Wal-Mart",32.7776894,-91.8872407
99,2/1/1976 ,3/1/1995 ,1,"29","071","1445 E CENTRAL","Union","MO","63084","Supercenter",38.4333526,-90.9722009
100,10/1/1974 ,3/1/1992 ,1,"05","007","406 SOUTH WALTON BLVD","Bentonville","AR","72712","Supercenter",36.368298,-94.224492
101,2/1/1976 ,3/1/1994 ,1,"29","161","500 SOUTH BISHOP","Rolla","MO","65401","Supercenter",37.937606,-91.77860
